window	chr	start	end	start_SNP	end_SNP	#SNPS	%genetic variance	WPPA
65	1.0	64000000	65000000	64033333	64966667	15	0.0	0.0
66	1.0	65000000	66000000	65033333	65966667	15	0.0	0.0
67	1.0	66000000	67000000	66033333	66966667	15	0.0	0.0
68	1.0	67000000	68000000	67033333	67966667	15	0.89	0.0
69	1.0	68000000	69000000	68033333	68966667	15	5.62	1.0
70	1.0	69000000	70000000	69033333	69966667	15	0.0	0.0
71	1.0	70000000	71000000	70033333	70966667	15	0.0	0.0
72	1.0	71000000	72000000	71033333	71966667	15	0.08	0.0
73	1.0	72000000	73000000	72033333	72966667	15	0.12	0.0
74	1.0	73000000	74000000	73033333	73966667	15	0.0	0.0
75	1.0	74000000	75000000	74033333	74966667	15	0.02	0.0
76	1.0	75000000	76000000	75033333	75966667	15	0.01	0.0
77	1.0	76000000	77000000	76033333	76966667	15	0.0	0.0
78	1.0	77000000	78000000	77033333	77966667	15	0.97	0.0
79	1.0	78000000	79000000	78033333	78966667	15	0.02	0.0
80	1.0	79000000	80000000	79033333	79966667	15	0.0	0.0
81	1.0	80000000	81000000	80033333	80966667	15	0.0	0.0
82	1.0	81000000	82000000	81033333	81966667	15	0.53	0.0
83	1.0	82000000	83000000	82033333	82966667	15	0.13	0.0
84	1.0	83000000	84000000	83033333	83966667	15	0.16	0.0
85	1.0	84000000	85000000	84033333	84966667	15	1.46	0.0
86	1.0	85000000	86000000	85033333	85966667	15	0.0	0.0
87	1.0	86000000	87000000	86033333	86966667	15	1.78	0.0
88	1.0	87000000	88000000	87033333	87966667	15	0.16	0.0
89	1.0	88000000	89000000	88033333	88966667	15	2.49	0.0
90	1.0	89000000	90000000	89033333	89966667	15	0.0	0.0
91	1.0	90000000	91000000	90033333	90966667	15	0.76	0.0
92	1.0	91000000	92000000	91033333	91966667	15	0.0	0.0
93	1.0	92000000	93000000	92033333	92966667	15	0.0	0.0
94	1.0	93000000	94000000	93033333	93966667	15	0.0	0.0
95	1.0	94000000	95000000	94033333	94966667	15	0.0	0.0
96	1.0	95000000	96000000	95033333	95966667	15	0.0	0.0
97	1.0	96000000	97000000	96033333	96966667	15	0.12	0.0
98	1.0	97000000	98000000	97033333	97966667	15	0.0	0.0
99	1.0	98000000	99000000	98033333	98966667	15	1.09	0.0
100	1.0	99000000	100000000	99033333	99966667	15	0.0	0.0
101	2.0	0	1000000	33333	966667	15	0.62	0.0
102	2.0	1000000	2000000	1033333	1966667	15	0.0	0.0
103	2.0	2000000	3000000	2033333	2966667	15	1.11	0.0
104	2.0	3000000	4000000	3033333	3966667	15	0.0	0.0
105	2.0	4000000	5000000	4033333	4966667	15	0.01	0.0
106	2.0	5000000	6000000	5033333	5966667	15	1.89	0.0
107	2.0	6000000	7000000	6033333	6966667	15	0.0	0.0
108	2.0	7000000	8000000	7033333	7966667	15	0.3	0.0
109	2.0	8000000	9000000	8033333	8966667	15	0.0	0.0
110	2.0	9000000	10000000	9033333	9966667	15	0.0	0.0
111	2.0	10000000	11000000	10033333	10966667	15	0.0	0.0
112	2.0	11000000	12000000	11033333	11966667	15	0.92	0.0
113	2.0	12000000	13000000	12033333	12966667	15	0.68	0.0
114	2.0	13000000	14000000	13033333	13966667	15	0.0	0.0
115	2.0	14000000	15000000	14033333	14966667	15	0.1	0.0
116	2.0	15000000	16000000	15033333	15966667	15	0.0	0.0
117	2.0	16000000	17000000	16033333	16966667	15	0.0	0.0
118	2.0	17000000	18000000	17033333	17966667	15	0.0	0.0
119	2.0	18000000	19000000	18033333	18966667	15	0.0	0.0
120	2.0	19000000	20000000	19033333	19966667	15	0.0	0.0
121	2.0	20000000	21000000	20033333	20966667	15	8.61	1.0
122	2.0	21000000	22000000	21033333	21966667	15	3.36	0.0
123	2.0	22000000	23000000	22033333	22966667	15	0.0	0.0
124	2.0	23000000	24000000	23033333	23966667	15	0.27	0.0
125	2.0	24000000	25000000	24033333	24966667	15	0.35	0.0
126	2.0	25000000	26000000	25033333	25966667	15	0.09	0.0
127	2.0	26000000	27000000	26033333	26966667	15	0.62	0.0
128	2.0	27000000	28000000	27033333	27966667	15	0.0	0.0
129	2.0	28000000	29000000	28033333	28966667	15	0.0	0.0
130	2.0	29000000	30000000	29033333	29966667	15	0.0	0.0
131	2.0	30000000	31000000	30033333	30966667	15	0.47	0.0
132	2.0	31000000	32000000	31033333	31966667	15	0.24	0.0
133	2.0	32000000	33000000	32033333	32966667	15	0.09	0.0
134	2.0	33000000	34000000	33033333	33966667	15	0.0	0.0
135	2.0	34000000	35000000	34033333	34966667	15	0.67	0.0
136	2.0	35000000	36000000	35033333	35966667	15	0.33	0.0
137	2.0	36000000	37000000	36033333	36966667	15	0.0	0.0
138	2.0	37000000	38000000	37033333	37966667	15	0.44	0.0
139	2.0	38000000	39000000	38033333	38966667	15	0.13	0.0
140	2.0	39000000	40000000	39033333	39966667	15	1.5	0.0
141	2.0	40000000	41000000	40033333	40966667	15	0.0	0.0
142	2.0	41000000	42000000	41033333	41966667	15	0.0	0.0
143	2.0	42000000	43000000	42033333	42966667	15	0.0	0.0
144	2.0	43000000	44000000	43033333	43966667	15	1.59	0.0
145	2.0	44000000	45000000	44033333	44966667	15	0.0	0.0
146	2.0	45000000	46000000	45033333	45966667	15	1.4	0.0
147	2.0	46000000	47000000	46033333	46966667	15	0.28	0.0
148	2.0	47000000	48000000	47033333	47966667	15	0.0	0.0
149	2.0	48000000	49000000	48033333	48966667	15	0.99	0.0
150	2.0	49000000	50000000	49033333	49966667	15	0.0	0.0
151	2.0	50000000	51000000	50033333	50966667	15	0.16	0.0
152	2.0	51000000	52000000	51033333	51966667	15	0.0	0.0
153	2.0	52000000	53000000	52033333	52966667	15	0.92	0.0
154	2.0	53000000	54000000	53033333	53966667	15	0.15	0.0
155	2.0	54000000	55000000	54033333	54966667	15	0.0	0.0
156	2.0	55000000	56000000	55033333	55966667	15	0.0	0.0
157	2.0	56000000	57000000	56033333	56966667	15	0.0	0.0
158	2.0	57000000	58000000	57033333	57966667	15	0.0	0.0
159	2.0	58000000	59000000	58033333	58966667	15	0.79	0.0
160	2.0	59000000	60000000	59033333	59966667	15	0.04	0.0
161	2.0	60000000	61000000	60033333	60966667	15	0.12	0.0
162	2.0	61000000	62000000	61033333	61966667	15	0.05	0.0
163	2.0	62000000	63000000	62033333	62966667	15	0.03	0.0
164	2.0	63000000	64000000	63033333	63966667	15	0.91	0.0
165	2.0	64000000	65000000	64033333	64966667	15	0.82	0.0
166	2.0	65000000	66000000	65033333	65966667	15	2.69	0.0
167	2.0	66000000	67000000	66033333	66966667	15	0.0	0.0
168	2.0	67000000	68000000	67033333	67966667	15	0.0	0.0
169	2.0	68000000	69000000	68033333	68966667	15	2.21	0.0
170	2.0	69000000	70000000	69033333	69966667	15	0.27	0.0
171	2.0	70000000	71000000	70033333	70966667	15	1.2	0.0
172	2.0	71000000	72000000	71033333	71966667	15	2.66	0.0
173	2.0	72000000	73000000	72033333	72966667	15	0.27	0.0
174	2.0	73000000	74000000	73033333	73966667	15	0.39	0.0
175	2.0	74000000	75000000	74033333	74966667	15	0.01	0.0
176	2.0	75000000	76000000	75033333	75966667	15	0.33	0.0
177	2.0	76000000	77000000	76033333	76966667	15	0.1	0.0
178	2.0	77000000	78000000	77033333	77966667	15	0.02	0.0
179	2.0	78000000	79000000	78033333	78966667	15	0.65	0.0
180	2.0	79000000	80000000	79033333	79966667	15	4.17	0.0
181	2.0	80000000	81000000	80033333	80966667	15	0.06	0.0
182	2.0	81000000	82000000	81033333	81966667	15	0.0	0.0
183	2.0	82000000	83000000	82033333	82966667	15	0.12	0.0
184	2.0	83000000	84000000	83033333	83966667	15	0.0	0.0
185	2.0	84000000	85000000	84033333	84966667	15	0.0	0.0
186	2.0	85000000	86000000	85033333	85966667	15	1.44	0.0
187	2.0	86000000	87000000	86033333	86966667	15	0.16	0.0
188	2.0	87000000	88000000	87033333	87966667	15	0.0	0.0
189	2.0	88000000	89000000	88033333	88966667	15	0.0	0.0
190	2.0	89000000	90000000	89033333	89966667	15	0.06	0.0
191	2.0	90000000	91000000	90033333	90966667	15	0.0	0.0
192	2.0	91000000	92000000	91033333	91966667	15	0.16	0.0
193	2.0	92000000	93000000	92033333	92966667	15	0.0	0.0
194	2.0	93000000	94000000	93033333	93966667	15	0.53	0.0
195	2.0	94000000	95000000	94033333	94966667	15	0.8	0.0
196	2.0	95000000	96000000	95033333	95966667	15	0.0	0.0
197	2.0	96000000	97000000	96033333	96966667	15	0.0	0.0
198	2.0	97000000	98000000	97033333	97966667	15	0.0	0.0
199	2.0	98000000	99000000	98033333	98966667	15	0.0	0.0
200	2.0	99000000	100000000	99033333	99966667	15	0.0	0.0
